date,value,,,
01/29/2021,60.3,,,
02/01/2021,59.6,,,
02/02/2021,59.64,,,
02/03/2021,60.48,,,
02/04/2021,60.4,,,
02/05/2021,58.88,,,
02/08/2021,58.24,,,
02/09/2021,60.27,,,
02/10/2021,61.06,,,
02/11/2021,59.97,,,
02/12/2021,59.2,,,
02/16/2021,58.19,,,
02/17/2021,58.61,,,
02/18/2021,58.73,,,
02/19/2021,57.97,,,
02/22/2021,58.28,,,
02/23/2021,59.3,,,
02/24/2021,59.35,,,
02/25/2021,58.76,,,
02/26/2021,58.54,,,
03/01/2021,59.39,,,
03/02/2021,59.14,,,
03/03/2021,58.8,,,
03/04/2021,59.29,,,
03/05/2021,60.52,,,
03/08/2021,61.72,,,
03/09/2021,61.49,,,
03/10/2021,61.59,,,
03/11/2021,61.89,,,
03/12/2021,62.9,,,
03/15/2021,62.8,,,
03/16/2021,62.97,,,
03/17/2021,61.89,,,
03/18/2021,63.57,,,
03/19/2021,64.24,,,
03/22/2021,64.46,,,
03/23/2021,64.06,,,
03/24/2021,64.94,,,
03/25/2021,64.94,,,
03/26/2021,64.86,,,
03/29/2021,65.64,,,
03/30/2021,65.38,,,
03/31/2021,63.91,,,
04/01/2021,63.25,,,
04/05/2021,63.96,,,
04/06/2021,62.64,,,
04/07/2021,62.62,,,
04/08/2021,61.54,,,
04/09/2021,62.61,,,
04/12/2021,62.43,,,
04/13/2021,62.23,,,
04/14/2021,62.58,,,
04/15/2021,64.24,,,
04/16/2021,64.96,,,
04/19/2021,65.38,,,
04/20/2021,65.43,,,
04/21/2021,65.49,,,
04/22/2021,64.64,,,
04/23/2021,65.37,,,
04/26/2021,66,,,
04/27/2021,61.31,,,
04/28/2021,59.49,,,
04/29/2021,60.59,,,
04/30/2021,61.74,,,
05/03/2021,62.42,,,
05/04/2021,64.56,,,
05/05/2021,65.29,,,
05/06/2021,65.19,,,
05/07/2021,70.45,,,
05/10/2021,69.56,,,
05/11/2021,68.06,,,
05/12/2021,69.64,,,
05/13/2021,68.39,,,
05/14/2021,69.2,,,
05/17/2021,70.56,,,
05/18/2021,70.73,,,
05/19/2021,70.88,,,
05/20/2021,71.8,,,
05/21/2021,73.73,,,
05/24/2021,73.92,,,
05/25/2021,73.96,,,
05/26/2021,73.49,,,
05/27/2021,73.72,,,
05/28/2021,73.6,,,
06/01/2021,73.28,,,
06/02/2021,72.61,,,
06/03/2021,72.41,,,
06/04/2021,71.44,,,
06/07/2021,71.28,,,
06/08/2021,71.55,,,
06/09/2021,71.66,,,
06/10/2021,71.02,,,
06/11/2021,70.81,,,
06/14/2021,68.78,,,
06/15/2021,70,,,
06/16/2021,72.62,,,
06/17/2021,74.31,,,
06/18/2021,71.69,,,
06/21/2021,72.17,,,
06/22/2021,72.2,,,
06/23/2021,73.09,,,
06/24/2021,72.8,,,
06/25/2021,73.9,,,
06/28/2021,74.3,,,
06/29/2021,73.75,,,
06/30/2021,72.93,,,
07/01/2021,73.66,,,
07/02/2021,73.88,,,
07/06/2021,73.61,,,
07/07/2021,74.14,,,
07/08/2021,72.66,,,
07/09/2021,73.51,,,
07/12/2021,74.7,,,
07/13/2021,74.57,,,
07/14/2021,73.77,,,
07/15/2021,73.3,,,
07/16/2021,72.66,,,
07/19/2021,71.37,,,
07/20/2021,71.67,,,
07/21/2021,72.91,,,
07/22/2021,73.15,,,
07/23/2021,73.46,,,
07/26/2021,72.67,,,
07/27/2021,70.47,,,
07/28/2021,69.73,,,
07/29/2021,69.08,,,
07/30/2021,68.61,,,
08/02/2021,70.31,,,
08/03/2021,69.33,,,
08/04/2021,69.09,,,
08/05/2021,67.23,,,
08/06/2021,66.8,,,
08/09/2021,66.19,,,
08/10/2021,64.99,,,
08/11/2021,64.45,,,
08/12/2021,63.11,,,
08/13/2021,63.07,,,
08/16/2021,64.06,,,
08/17/2021,65.41,,,
08/18/2021,63.82,,,
08/19/2021,63.91,,,
08/20/2021,64.31,,,
08/23/2021,64.53,,,
08/24/2021,64.58,,,
08/25/2021,63.56,,,
08/26/2021,63.58,,,
08/27/2021,63.98,,,
08/30/2021,63.23,,,
08/31/2021,62.98,,,
09/01/2021,62.71,,,
09/02/2021,64.61,,,
09/03/2021,64.37,,,
09/07/2021,63.79,,,
09/08/2021,62.85,,,
09/09/2021,61.96,,,
09/10/2021,59.73,,,
09/13/2021,62.9,,,
09/14/2021,60.8,,,
09/15/2021,61.63,,,
09/16/2021,61.59,,,
09/17/2021,64.64,,,
09/20/2021,64.35,,,
09/21/2021,63.09,,,
09/22/2021,62.94,,,
09/23/2021,62.6,,,
09/24/2021,62.82,,,
09/27/2021,63.83,,,
09/28/2021,63.5,,,
09/29/2021,63.26,,,
09/30/2021,62.31,,,
10/01/2021,63.05,,,
10/04/2021,62.53,,,
10/05/2021,62.71,,,
10/06/2021,63.04,,,
10/07/2021,63.97,,,
10/08/2021,64.33,,,
10/11/2021,63.1,,,
10/12/2021,63.04,,,
10/13/2021,61.94,,,
10/14/2021,63.23,,,
10/15/2021,65.32,,,
10/18/2021,64.01,,,
10/19/2021,64.71,,,
10/20/2021,68.09,,,
10/21/2021,68.99,,,
10/22/2021,69.24,,,
10/25/2021,67.97,,,
10/26/2021,70.97,,,
10/27/2021,70.55,,,
10/28/2021,71.61,,,
10/29/2021,71.24,,,
11/01/2021,71.74,,,
11/02/2021,69.34,,,
11/03/2021,73.9,,,
11/04/2021,73.77,,,
11/05/2021,74.17,,,
11/08/2021,74.08,,,
11/09/2021,74.77,,,
11/10/2021,75.06,,,
11/11/2021,75.29,,,
11/12/2021,75.86,,,
11/15/2021,75.1,,,
11/16/2021,74.98,,,
11/17/2021,76.18,,,
11/18/2021,75.37,,,
11/19/2021,73.01,,,
11/22/2021,74.08,,,
11/23/2021,76.03,,,
11/24/2021,75.61,,,
11/26/2021,73.9,,,
11/29/2021,73.77,,,
11/30/2021,71.41,,,
12/01/2021,70.18,,,
12/02/2021,71.42,,,
12/03/2021,71.05,,,
12/06/2021,71.77,,,
12/07/2021,73.4,,,
12/08/2021,73.88,,,
12/09/2021,74.87,,,
12/10/2021,78.45,,,
12/13/2021,78.15,,,
12/14/2021,81.85,,,
12/15/2021,83.33,,,
12/16/2021,83,,,
12/17/2021,83.02,,,
12/20/2021,82.42,,,
12/21/2021,82.99,,,
12/22/2021,84.37,,,
12/23/2021,84.72,,,
12/27/2021,84.37,,,
12/28/2021,84.45,,,
12/29/2021,84.22,,,
12/30/2021,83.99,,,
12/31/2021,82.4,,,
01/03/2022,82.65,,,
01/04/2022,81.08,,,
01/05/2022,79.79,,,
01/06/2022,76.34,,,
01/07/2022,76.34,,,
01/10/2022,77.84,,,
01/11/2022,80.02,,,
01/12/2022,80.32,,,
01/13/2022,79.88,,,
01/14/2022,80.55,,,
01/18/2022,78.69,,,
01/19/2022,77.61,,,
01/20/2022,78.95,,,
01/21/2022,77.14,,,
01/24/2022,77.53,,,
01/25/2022,76.37,,,
01/26/2022,75.34,,,
01/27/2022,76.27,,,
01/28/2022,77.27,,,
01/31/2022,77.76,,,
02/01/2022,76.95,,,
02/02/2022,78.82,,,
02/03/2022,81.53,,,
02/04/2022,80.57,,,
02/07/2022,80.79,,,
02/08/2022,85.67,,,
02/09/2022,85.95,,,
02/10/2022,84.15,,,
02/11/2022,83.32,,,
02/14/2022,82.01,,,
02/15/2022,84.08,,,
02/16/2022,84.22,,,
02/17/2022,82.81,,,
02/18/2022,82.06,,,
02/22/2022,81.4,,,
The data and information in this spreadsheet is provided to you solely for,,,,
your use and is not for distribution. The spreadsheet is provided for,,,,
"informational purposes only, and is not intended to provide advice, nor",,,,
"should it be construed as an offer to sell, a solicitation of an offer to buy",,,,
or a recommendation for any security by Fidelity or any third party. Data,,,,
and information shown is based on information known to Fidelity as of,,,,
the date it was exported and is subject to change. It should not be used in,,,,
place of your account statements or trade confirmations and is not,,,,
intended for tax reporting purposes. For more information on the data,,,,
"included in this spreadsheet, including any limitations thereof, go to",,,,
Fidelity.com.,,,,
,,,,
"Brokerage services are provided by Fidelity Brokerage Services LLC, 900",,,,
"Salem Street, Smithfield, RI 02917. Custody and other services provided",,,,
by National Financial Services LLC. Both are Fidelity Investment,,,,
"companies and members SIPC, NYSE.",,,,
,,,,
Date downloaded 02/22/2022 10:57 AM EST,,,,
